id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4318916939,Sima Das|Akhil Varshney,https://openalex.org/A5070403864|https://openalex.org/A5062085810,https://orcid.org/0000-0001-8048-6597|https://orcid.org/0000-0003-0759-0982,IN|US|IN|US,Creative Commons|Dr. Shroff’s Charity Eye Hospital|Dr. Shroff’s Charity Eye Hospital|Creative Commons,https://openalex.org/I4210120668|https://openalex.org/I4210134825|https://openalex.org/I4210134825|https://openalex.org/I4210120668,True|False,cc-by-nc-sa,0.62700151,2,https://openalex.org/I4210120668|https://openalex.org/I4210134825,Commentary: Can machine be taught to detect retinoblastoma?,https://doi.org/10.4103/ijo.ijo_2283_22,,0.5731,https://pubmed.ncbi.nlm.nih.gov/36727334,False,en,True,diamond,Indian Journal of Ophthalmology,https://openalex.org/S191336577,0301-4738,journal,Glaucoma and retinal disorders,2023-02-01,2023,article
https://openalex.org/W4327712051,Dariusz Tarasewicz|Andrew J. Karter|Noel Pimentel|Howard H. Moffet|Khanh K. Thai|David Schlessinger|Oleg Sofrygin|Ronald B. Melles,https://openalex.org/A5087116717|https://openalex.org/A5040058035|https://openalex.org/A5014308303|https://openalex.org/A5072090300|https://openalex.org/A5003524681|https://openalex.org/A5079340049|https://openalex.org/A5049756542|https://openalex.org/A5019648757,https://orcid.org/0000-0002-4010-9591|https://orcid.org/0000-0001-5527-316X||https://orcid.org/0000-0002-8728-774X|https://orcid.org/0000-0001-5958-6585|https://orcid.org/0000-0002-4622-3352|https://orcid.org/0000-0002-9539-8853|https://orcid.org/0000-0003-1027-4083,|||||||,,,True|False|False|False|False|False|False|False,cc-by-nc-sa,0.03631369,0,,Development and Validation of a Diabetic Retinopathy Risk Stratification Algorithm,https://doi.org/10.2337/figshare.22155383.v1,,0.0,,False,en,True,gold,,,,,Retinal Imaging and Analysis,2023-03-17,2023,preprint
https://openalex.org/W4327697693,Dariusz Tarasewicz|Andrew J. Karter|Noel Pimentel|Howard H. Moffet|Khanh K. Thai|David Schlessinger|Oleg Sofrygin|Ronald B. Melles,https://openalex.org/A5087116717|https://openalex.org/A5040058035|https://openalex.org/A5014308303|https://openalex.org/A5072090300|https://openalex.org/A5003524681|https://openalex.org/A5079340049|https://openalex.org/A5049756542|https://openalex.org/A5019648757,https://orcid.org/0000-0002-4010-9591|https://orcid.org/0000-0001-5527-316X||https://orcid.org/0000-0002-8728-774X|https://orcid.org/0000-0001-5958-6585|https://orcid.org/0000-0002-4622-3352|https://orcid.org/0000-0002-9539-8853|https://orcid.org/0000-0003-1027-4083,|||||||,,,True|False|False|False|False|False|False|False,cc-by-nc-sa,0.03625617,0,,Development and Validation of a Diabetic Retinopathy Risk Stratification Algorithm,https://doi.org/10.2337/figshare.22155383,,0.0,,False,en,True,gold,,,,,Retinal Imaging and Analysis,2023-03-17,2023,preprint
https://openalex.org/W4409682584,Marko Romanovych Basarab|Kateryna Ivanko,https://openalex.org/A5071339288|https://openalex.org/A5007178979,https://orcid.org/0000-0002-3260-674X|https://orcid.org/0000-0002-3842-2423,UA|UA,National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”|National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”,https://openalex.org/I202483615|https://openalex.org/I202483615,True|False,cc-by,0.43078428,0,https://openalex.org/I202483615,Investigation of Fundus Images for Detection of Diabetic Retinopathy Stage Using Deep Learning,https://doi.org/10.20535/radap.2023.94.49-57,,0.0,,False,en,True,diamond,Visnyk NTUU KPI Seriia - Radiotekhnika Radioaparatobuduvannia,https://openalex.org/S4210205337,2310-0389,journal,Retinal Imaging and Analysis,2023-12-30,2023,article
https://openalex.org/W4377427769,Merlin Moncy|Lisha Varghese,https://openalex.org/A5091999182|https://openalex.org/A5045069871,|,|US,Amal Jyothi College of Engineering|Marymount University|Amal Jyothi College of Engineering,https://openalex.org/I4396570478|https://openalex.org/I53276908|https://openalex.org/I4396570478,True|False,cc-by,0.17230996,0,https://openalex.org/I4396570478,An Approach to Detect Eye Diseases Using Deep Learning,https://doi.org/10.5281/zenodo.7962250,,0.0,,False,en,True,green,Zenodo (CERN European Organization for Nuclear Research),https://openalex.org/S4306400562,,repository,Retinal Imaging and Analysis,2023-05-23,2023,paratext
https://openalex.org/W4367557541,T K Shivaprasad|Sameeksha|Kunapareddi Sathvik|Yashmitha Yashawantha P,https://openalex.org/A5033369022|https://openalex.org/A5013039961|https://openalex.org/A5047872730|https://openalex.org/A5025379543,|||,|IN|IN|IN,|Mangalore Institute of Oncology|Mangalore University|Mangalore University|Mangalore Institute of Oncology|Mangalore University|Mangalore Institute of Oncology,|https://openalex.org/I4210118226|https://openalex.org/I19008122|https://openalex.org/I19008122|https://openalex.org/I4210118226|https://openalex.org/I19008122|https://openalex.org/I4210118226,True|False|False|False,,0.15841527,0,,Early Diabetic Retinopathy Detection using Deep Learning,https://doi.org/10.22214/ijraset.2023.51209,,0.0,,False,en,True,diamond,International Journal for Research in Applied Science and Engineering Technology,https://openalex.org/S2764566388,2321-9653,journal,Retinal Imaging and Analysis,2023-04-30,2023,article
https://openalex.org/W4387308340,C Arunavinodhini|S. Sabena,https://openalex.org/A5092994677|https://openalex.org/A5085415713,|,IN|IN,"Anna University, Chennai|Anna University, Chennai",https://openalex.org/I33585257|https://openalex.org/I33585257,True|False,cc-by,,0,https://openalex.org/I33585257,DREXUNET: A novel Deep CNN Algorithm for drusen and exudates classification on fundus images,https://doi.org/10.21203/rs.3.rs-3383744/v1,,,,False,en,True,green,Research Square,https://openalex.org/S4306525896,,repository,Retinal Imaging and Analysis,2023-10-03,2023,preprint
https://openalex.org/W4387485083,N. Shunmuga karpagam Rajitha K R,https://openalex.org/A5114089539,,,,,True,cc-by,0.31811929,0,,Diabetic Retinopathy Diagnosis Categorization Using Deep Learning,https://doi.org/10.17762/jaz.v44i3.650,,0.0,,False,en,True,diamond,Journal Of Advanced Zoology,https://openalex.org/S39943216,0253-7214,journal,Retinal Imaging and Analysis,2023-10-08,2023,article
https://openalex.org/W4391730294,Nithya Rajagopalan|K. Nirmala|M Vahini|S. Shajun Nisha|S Rakshitha,https://openalex.org/A5084751161|https://openalex.org/A5080263501|https://openalex.org/A5056501513|https://openalex.org/A5043269524|https://openalex.org/A5024542150,||||,IN|IN|IN|IN|IN,Sri Ramachandra Institute of Higher Education and Research|Sri Ramachandra Institute of Higher Education and Research|Sri Ramachandra Institute of Higher Education and Research|Sri Ramachandra Institute of Higher Education and Research|Sri Ramachandra Institute of Higher Education and Research,https://openalex.org/I20107917|https://openalex.org/I20107917|https://openalex.org/I20107917|https://openalex.org/I20107917|https://openalex.org/I20107917,True|False|False|False|False,,0.40585961,0,https://openalex.org/I20107917,Diagnostic Tool for Diabetic Retinopathy using Thermal Eye Images,https://doi.org/10.21611/qirt.2023.13,,0.0,,False,en,True,gold,,,,,Infrared Thermography in Medicine,2023-01-01,2023,article
https://openalex.org/W4367053957,Zekai Wang|Suhao Chen|Tieming Liu|Bing Yao,https://openalex.org/A5101602471|https://openalex.org/A5076091179|https://openalex.org/A5059041568|https://openalex.org/A5101729319,https://orcid.org/0009-0007-8764-0375|https://orcid.org/0000-0002-5092-8259|https://orcid.org/0000-0001-8104-2701|https://orcid.org/0000-0001-7993-1817,US|US|US|US,Oklahoma State University|South Dakota School of Mines and Technology|University of Tennessee at Knoxville|Oklahoma State University|South Dakota School of Mines and Technology|University of Tennessee at Knoxville|Oklahoma State University|South Dakota School of Mines and Technology|University of Tennessee at Knoxville|Oklahoma State University|South Dakota School of Mines and Technology|University of Tennessee at Knoxville,https://openalex.org/I115475287|https://openalex.org/I184647316|https://openalex.org/I75027704|https://openalex.org/I115475287|https://openalex.org/I184647316|https://openalex.org/I75027704|https://openalex.org/I115475287|https://openalex.org/I184647316|https://openalex.org/I75027704|https://openalex.org/I115475287|https://openalex.org/I184647316|https://openalex.org/I75027704,True|False|False|False,cc-by,0.06573884,0,https://openalex.org/I115475287|https://openalex.org/I184647316|https://openalex.org/I75027704,Multi-branching Temporal Convolutional Network with Tensor Data Completion for Diabetic Retinopathy Prediction,https://doi.org/10.36227/techrxiv.22670059.v1,,0.0,,False,en,True,gold,,,,,Artificial Intelligence in Healthcare,2023-04-25,2023,preprint
